No_of_Transactions,Time(S)
1,.084269709
2,.205771999
4,.404928584
6,.621420176
8,.803085587
10,1.114969243
14,1.502883381
18,1.902387272
22,3.140660641
26,2.985944289
32,3.371218605
42,4.802631194
52,6.681887548
