No_of_Transactions,Time(S)
1,3.113404860
2,6.191573820
4,12.369794432
6,18.584732611
8,24.767705424
10,31.079061948
14,43.393665843
18,55.879898888
22,68.551118335
26,80.596278907
32,99.260435850
42,130.215582466
52,161.483084918
